brand,model,engine,battery_capacity,horse_power,top_speed,performance,price,fuel_type,seats,torque
ferrari,sf90 stradale,v8,3990.0,963,340,2.5,1100000.0,hybrid in plug,2,800.0
rolls royce,phantom,v12,6749.0,563,250,5.3,460000.0,petrol,5,900.0
ford,ka+,1.2l petrol,1200.0,70,165,10.5,12000.0,petrol,5,100.0
mercedes,gt 63 s,v8,3982.0,630,250,3.2,161000.0,petrol,4,900.0
audi,audi r8 gt,v10,5204.0,602,320,3.6,253290.0,petrol,2,560.0
bmw,mclaren 720s,v8,3994.0,710,341,2.9,499000.0,petrol,2,770.0
aston martin,vantage f1,v8,3982.0,656,314,3.6,193440.0,petrol,2,685.0
bentley,continental gt azure,v8,3996.0,550,318,4.0,311000.0,petrol,4,900.0
lamborghini,veneno roadster,v12,6498.0,750,356,2.9,4500000.0,petrol,2,690.0
ferrari,f8 tributo,v8,3900.0,710,340,2.9,280000.0,petrol,2,770.0
ferrari,812 gts,v12,6496.0,789,340,2.9,350000.0,petrol,2,718.0
ferrari,portofino,v8,3900.0,592,320,3.2,210000.0,petrol,4,760.0
ferrari,roma,v8,3900.0,612,320,3.4,230000.0,petrol,4,760.0
ferrari,monza sp2,v12,6496.0,789,340,2.9,1700000.0,petrol,2,719.0
ferrari,f8 spider,v8,3900.0,710,340,2.9,280000.0,petrol,2,770.0
ferrari,portofino m,v8,3900.0,612,320,3.2,220000.0,petrol,4,760.0
ferrari,roma spider,v8,3900.0,612,320,3.4,240000.0,petrol,4,760.0
toyota,gr supra,i4,2998.0,382,250,4.1,53900.0,petrol,2,500.0
toyota,toyota 86,boxer-4,1998.0,205,226,6.4,27000.0,petrol,4,205.0
toyota,toyota  gr86,boxer-4,2387.0,228,226,5.6,30000.0,petrol,4,250.0
toyota,toyota land cruiser,v8,5663.0,381,220,6.7,85000.0,diesel,7,500.0
toyota,toyota sequoia,v8,5663.0,381,200,6.9,50000.0,petrol,7,651.0
nissan,gt-r,v6,3799.0,600,315,2.9,113000.0,petrol,4,637.0
nissan,370z,v6,3696.0,332,250,4.7,30000.0,petrol,2,366.0
nissan,z proto,v6,2998.0,400,290,4.1,40000.0,petrol,2,475.0
nissan,altima,i4,2488.0,188,225,7.3,25000.0,petrol,5,380.0
nissan,maxima,v6,3498.0,300,240,5.8,35000.0,petrol,5,354.0
nissan,sentra,i4,1998.0,149,200,8.2,20000.0,petrol,5,240.0
nissan,rogue,i4,2488.0,201,200,7.5,28000.0,petrol,5,270.0
nissan,pathfinder,v6,3498.0,284,225,6.5,35000.0,petrol,7,351.0
nissan,frontier,v6,3799.0,310,180,6.8,30000.0,petrol,5,381.0
nissan,titan,v8,5598.0,400,200,5.9,40000.0,petrol,5,560.0
aston martin,valkyrie,v12,6496.0,1160,402,2.5,3200000.0,hybrid,2,900.0
aston martin,valhalla,v8,3996.0,1000,362,2.5,1100000.0,hybrid,2,1000.0
aston martin,dbs superleggera,v12,5204.0,715,340,3.4,316000.0,petrol,2,900.0
aston martin,db11,v12,5204.0,600,322,3.9,208000.0,petrol,4,700.0
aston martin,vantage,v8,3996.0,503,313,3.6,142000.0,petrol,2,685.0
aston martin,dbx,v8,3996.0,542,291,4.5,189000.0,petrol,5,700.0
aston martin,rapide amr,v12,5935.0,580,328,4.2,240000.0,petrol,4,630.0
aston martin,vanquish,v12,5935.0,580,324,3.6,294000.0,petrol,2,630.0
aston martin,lagonda taraf,v12,5935.0,540,314,4.2,1100000.0,petrol,4,630.0
aston martin,victor,v12,5204.0,836,320,2.8,1300000.0,petrol,2,821.0
lamborghini,sian,v12,6498.0,819,350,2.8,2800000.0,hybrid,2,720.0
lamborghini,aventador svj,v12,6498.0,759,350,2.8,518000.0,petrol,2,720.0
lamborghini,huracan performante,v10,5204.0,640,325,2.9,274000.0,petrol,2,600.0
lamborghini,huracan evo,v10,5204.0,640,325,2.9,261000.0,petrol,2,600.0
lamborghini,aventador sv,v12,6498.0,740,350,2.8,493000.0,petrol,2,690.0
lamborghini,urus,v8,3996.0,641,305,3.6,211000.0,petrol,5,850.0
lamborghini,huracan spyder,v10,5204.0,610,325,3.4,287000.0,petrol,2,600.0
lamborghini,aventador roadster,v12,6498.0,700,350,3.0,445000.0,petrol,2,690.0
lamborghini,huracan  performante spyder,v10,5204.0,640,325,3.1,308000.0,petrol,2,600.0
lamborghini,aventador s,v12,6498.0,740,350,2.9,421000.0,petrol,2,690.0
lamborghini,huracan evo spyder,v10,5204.0,640,325,3.1,287000.0,petrol,2,600.0
lamborghini,urus performante,v8,3996.0,641,305,3.3,242000.0,petrol,5,850.0
lamborghini,aventador ultimae,v12,6498.0,769,355,2.8,545000.0,petrol,2,720.0
lamborghini,huracan evo rwd,v10,5204.0,610,325,3.3,258000.0,petrol,2,560.0
lamborghini,aventador svj roadster,v12,6498.0,759,350,2.9,573000.0,petrol,2,720.0
lamborghini,urus s,v8,3996.0,671,305,3.3,263000.0,petrol,5,850.0
lamborghini,huracan sto,v10,5204.0,640,325,3.0,327000.0,petrol,2,565.0
lamborghini,aventador lp 780-4 ultimate,v12,6498.0,769,355,2.8,545000.0,petrol,2,720.0
lamborghini,huracan evo rwd spyder,v10,5204.0,610,325,3.3,273000.0,petrol,2,600.0
lamborghini,aventador svj xago,v12,6498.0,759,350,2.9,603000.0,petrol,2,720.0
lamborghini,urus graphite capsule,v8,3998.0,641,305,3.3,253000.0,petrol,5,850.0
lamborghini,huracan sto evo,v10,5204.0,640,325,3.0,342000.0,petrol,2,565.0
lamborghini,aventador lp 780-4 ultimate roadster,v12,6498.0,769,355,2.8,573000.0,petrol,2,720.0
rolls royce,ghost,v12,6592.0,591,250,4.8,332000.0,petrol,5,850.0
